entry_id,lipid_system,lipid_components,composition,property,value,unit,uncertainty,temperature_C,phase,hydration,type,method,force_field,source_doi,source_citation,source_locator,extraction_confidence,notes,date_added
1,DLPC,DLPC,single,area_per_lipid,59.6,A^2,1.2,20.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 1,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
2,DLPC,DLPC,single,area_per_lipid,60.8,A^2,1.2,30.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 1,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
3,DLPC,DLPC,single,area_per_lipid,64.8,A^2,1.3,50.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 1,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
4,DLPC,DLPC,single,area_per_lipid,65.9,A^2,1.3,60.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 1,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
5,DMPC,DMPC,single,area_per_lipid,59.9,A^2,1.2,30.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 1,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
6,DMPC,DMPC,single,area_per_lipid,63.3,A^2,1.3,50.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 1,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
7,DMPC,DMPC,single,area_per_lipid,65.7,A^2,1.3,60.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 1,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
8,DPPC,DPPC,single,area_per_lipid,63.1,A^2,1.3,50.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 1,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
9,DPPC,DPPC,single,area_per_lipid,65.0,A^2,1.3,60.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 1,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
10,DSPC,DSPC,single,area_per_lipid,63.8,A^2,1.3,60.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 1,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
11,POPC,POPC,single,area_per_lipid,62.7,A^2,1.3,20.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 1,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
12,POPC,POPC,single,area_per_lipid,64.3,A^2,1.3,30.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 1,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
13,POPC,POPC,single,area_per_lipid,67.3,A^2,1.3,50.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 1,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
