source_doi,source_citation,type,n
10.1016/j.bbamem.2011.07.022,Kucerka2011,experimental,66
10.5281/zenodo.8369427,NMRlipidsDatabank_ID776,computational,12
10.5281/zenodo.8369348,NMRlipidsDatabank_ID774,computational,10
10.1039/c2cp42738a,NMRlipidsExpDatabank,experimental,10
10.5281/zenodo.4651415,NMRlipidsDatabank_ID3,computational,10
10.18710/ETWNCU,NMRlipidsExpDatabank,experimental,10
10.5281/zenodo.8331718,NMRlipidsDatabank_ID769,computational,10
10.5281/zenodo.8331752,NMRlipidsDatabank_ID767,computational,10
10.5281/zenodo.8331805,NMRlipidsDatabank_ID768,computational,10
10.5281/zenodo.16813252,NMRlipidsDatabank_ID840,computational,10
unpublished/nesterenkoDMPCbOG,NMRlipidsExpDatabank,experimental,8
10.5281/zenodo.6823118,NMRlipidsDatabank_ID721,computational,6
10.5281/zenodo.16001915,NMRlipidsDatabank_ID839,computational,6
10.5281/zenodo.1493246,NMRlipidsDatabank_ID116,computational,6
10.5281/zenodo.1488102,NMRlipidsDatabank_ID260,computational,6
10.5281/zenodo.1493229,NMRlipidsDatabank_ID324,computational,6
10.5281/zenodo.1493190,NMRlipidsDatabank_ID408,computational,6
10.5281/zenodo.1488102,NMRlipidsDatabank_ID531,computational,6
10.5281/zenodo.1488102,NMRlipidsDatabank_ID25,computational,6
10.5281/zenodo.1488102,NMRlipidsDatabank_ID237,computational,6
10.5281/zenodo.1488102,NMRlipidsDatabank_ID218,computational,6
10.5281/zenodo.6822850,NMRlipidsDatabank_ID718,computational,6
10.5281/zenodo.53222,NMRlipidsDatabank_ID185,computational,6
10.5281/zenodo.16842791,NMRlipidsDatabank_ID844,computational,6
10.5281/zenodo.1488094,NMRlipidsDatabank_ID380,computational,6
10.5281/zenodo.2579108,NMRlipidsDatabank_ID197,computational,6
10.5281/zenodo.2579063,NMRlipidsDatabank_ID348,computational,6
10.5281/zenodo.2579061,NMRlipidsDatabank_ID458,computational,6
10.5281/zenodo.51639,NMRlipidsDatabank_ID102,computational,6
10.5281/zenodo.2542176,NMRlipidsDatabank_ID437,computational,6
10.5281/zenodo.2542164,NMRlipidsDatabank_ID125,computational,6
10.5281/zenodo.2542151,NMRlipidsDatabank_ID555,computational,6
10.5281/zenodo.2542135,NMRlipidsDatabank_ID580,computational,6
10.5281/zenodo.51747,NMRlipidsDatabank_ID14,computational,6
10.5281/zenodo.51748,NMRlipidsDatabank_ID581,computational,6
10.5281/zenodo.51750,NMRlipidsDatabank_ID240,computational,6
10.5281/zenodo.51754,NMRlipidsDatabank_ID331,computational,6
10.5281/zenodo.51760,NMRlipidsDatabank_ID112,computational,6
10.5281/zenodo.53151,NMRlipidsDatabank_ID120,computational,6
10.5281/zenodo.53212,NMRlipidsDatabank_ID601,computational,6
10.5281/zenodo.1488094,NMRlipidsDatabank_ID401,computational,6
10.5281/zenodo.1488094,NMRlipidsDatabank_ID209,computational,6
10.5281/zenodo.1488094,NMRlipidsDatabank_ID294,computational,6
10.5281/zenodo.1487761,NMRlipidsDatabank_ID424,computational,6
10.5281/zenodo.1288297,NMRlipidsDatabank_ID238,computational,6
10.5281/zenodo.1288297,NMRlipidsDatabank_ID272,computational,6
10.5281/zenodo.1288297,NMRlipidsDatabank_ID382,computational,6
10.5281/zenodo.1288297,NMRlipidsDatabank_ID51,computational,6
10.5281/zenodo.1306821,NMRlipidsDatabank_ID64,computational,6
10.5281/zenodo.13984187,NMRlipidsDatabank_ID787,computational,6
10.5281/zenodo.1402437,NMRlipidsDatabank_ID131,computational,6
10.5281/zenodo.1402441,NMRlipidsDatabank_ID75,computational,6
10.5281/zenodo.1402449,NMRlipidsDatabank_ID290,computational,6
10.5281/zenodo.1475285,NMRlipidsDatabank_ID140,computational,6
10.5281/zenodo.1487761,NMRlipidsDatabank_ID177,computational,6
10.5281/zenodo.1487761,NMRlipidsDatabank_ID188,computational,6
10.5281/zenodo.1487761,NMRlipidsDatabank_ID313,computational,6
10.5281/zenodo.1487761,NMRlipidsDatabank_ID411,computational,6
10.5281/zenodo.1487761,NMRlipidsDatabank_ID48,computational,6
10.5281/zenodo.1488094,NMRlipidsDatabank_ID228,computational,6
10.5281/zenodo.1487761,NMRlipidsDatabank_ID492,computational,6
10.5281/zenodo.1487761,NMRlipidsDatabank_ID524,computational,6
10.5281/zenodo.1487895,NMRlipidsDatabank_ID200,computational,6
10.5281/zenodo.1487895,NMRlipidsDatabank_ID287,computational,6
10.5281/zenodo.1487895,NMRlipidsDatabank_ID434,computational,6
10.5281/zenodo.1487895,NMRlipidsDatabank_ID540,computational,6
10.5281/zenodo.1487895,NMRlipidsDatabank_ID68,computational,6
10.5281/zenodo.1487895,NMRlipidsDatabank_ID80,computational,6
10.5281/zenodo.1487906,NMRlipidsDatabank_ID314,computational,6
10.5281/zenodo.1487906,NMRlipidsDatabank_ID326,computational,6
10.5281/zenodo.1488094,NMRlipidsDatabank_ID145,computational,6
10.5281/zenodo.2579344,NMRlipidsDatabank_ID89,computational,6
10.5281/zenodo.1488094,NMRlipidsDatabank_ID212,computational,6
10.5281/zenodo.1488094,NMRlipidsDatabank_ID223,computational,6
10.5281/zenodo.2579224,NMRlipidsDatabank_ID435,computational,6
10.5281/zenodo.2581186,NMRlipidsDatabank_ID265,computational,6
10.5281/zenodo.2579675,NMRlipidsDatabank_ID883,computational,6
10.5281/zenodo.3266240,NMRlipidsDatabank_ID322,computational,6
10.5281/zenodo.3613573,NMRlipidsDatabank_ID230,computational,6
10.5281/zenodo.3613573,NMRlipidsDatabank_ID229,computational,6
10.5281/zenodo.3605386,NMRlipidsDatabank_ID607,computational,6
10.5281/zenodo.3238258,NMRlipidsDatabank_ID335,computational,6
10.5281/zenodo.3240156,NMRlipidsDatabank_ID138,computational,6
10.5281/zenodo.3240403,NMRlipidsDatabank_ID161,computational,6
10.5281/zenodo.3241243,NMRlipidsDatabank_ID286,computational,6
10.5281/zenodo.3241269,NMRlipidsDatabank_ID505,computational,6
10.5281/zenodo.3248612,NMRlipidsDatabank_ID266,computational,6
10.5281/zenodo.3248689,NMRlipidsDatabank_ID341,computational,6
10.5281/zenodo.3249960,NMRlipidsDatabank_ID596,computational,6
10.5281/zenodo.3250127,NMRlipidsDatabank_ID485,computational,6
10.5281/zenodo.3256490,NMRlipidsDatabank_ID556,computational,6
10.5281/zenodo.3266238,NMRlipidsDatabank_ID139,computational,6
10.5281/zenodo.3267234,NMRlipidsDatabank_ID413,computational,6
10.5281/zenodo.3613573,NMRlipidsDatabank_ID307,computational,6
10.5281/zenodo.3332778,NMRlipidsDatabank_ID111,computational,6
10.5281/zenodo.3332778,NMRlipidsDatabank_ID300,computational,6
10.5281/zenodo.3332778,NMRlipidsDatabank_ID337,computational,6
10.5281/zenodo.3332778,NMRlipidsDatabank_ID387,computational,6
10.5281/zenodo.3332778,NMRlipidsDatabank_ID465,computational,6
10.5281/zenodo.3332778,NMRlipidsDatabank_ID95,computational,6
10.5281/zenodo.3483793,NMRlipidsDatabank_ID402,computational,6
10.5281/zenodo.3483789,NMRlipidsDatabank_ID179,computational,6
10.5281/zenodo.3483787,NMRlipidsDatabank_ID226,computational,6
10.5281/zenodo.3483785,NMRlipidsDatabank_ID474,computational,6
10.5281/zenodo.3483783,NMRlipidsDatabank_ID323,computational,6
10.5281/zenodo.3371327,NMRlipidsDatabank_ID389,computational,6
10.5281/zenodo.3371327,NMRlipidsDatabank_ID600,computational,6
10.5281/zenodo.3371327,NMRlipidsDatabank_ID618,computational,6
10.5281/zenodo.3613573,NMRlipidsDatabank_ID302,computational,6
10.5281/zenodo.3613573,NMRlipidsDatabank_ID32,computational,6
10.5281/zenodo.2580153,NMRlipidsDatabank_ID377,computational,6
10.5281/zenodo.3997019,NMRlipidsDatabank_ID180,computational,6
10.5281/zenodo.2580158,NMRlipidsDatabank_ID447,computational,6
10.5281/zenodo.2580902,NMRlipidsDatabank_ID170,computational,6
10.5281/zenodo.1283333,NMRlipidsDatabank_ID460,computational,6
10.5281/zenodo.2582721,NMRlipidsDatabank_ID442,computational,6
10.5281/zenodo.44660,NMRlipidsDatabank_ID288,computational,6
10.5281/zenodo.44622,NMRlipidsDatabank_ID354,computational,6
10.5281/zenodo.4005515,NMRlipidsDatabank_ID178,computational,6
10.5281/zenodo.3997184,NMRlipidsDatabank_ID363,computational,6
10.5281/zenodo.3997176,NMRlipidsDatabank_ID417,computational,6
10.5281/zenodo.3997154,NMRlipidsDatabank_ID429,computational,6
10.5281/zenodo.3997135,NMRlipidsDatabank_ID509,computational,6
10.5281/zenodo.3997116,NMRlipidsDatabank_ID592,computational,6
10.5281/zenodo.3997037,NMRlipidsDatabank_ID368,computational,6
10.5281/zenodo.259443,NMRlipidsDatabank_ID156,computational,6
10.5281/zenodo.3996952,NMRlipidsDatabank_ID58,computational,6
10.5281/zenodo.3613573,NMRlipidsDatabank_ID538,computational,6
10.5281/zenodo.259443,NMRlipidsDatabank_ID491,computational,6
10.5281/zenodo.3874378,NMRlipidsDatabank_ID418,computational,6
10.5281/zenodo.3871590,NMRlipidsDatabank_ID585,computational,6
10.5281/zenodo.3864993,NMRlipidsDatabank_ID182,computational,6
10.5281/zenodo.3862036,NMRlipidsDatabank_ID470,computational,6
10.5281/zenodo.2653723,NMRlipidsDatabank_ID108,computational,6
10.5281/zenodo.2653723,NMRlipidsDatabank_ID12,computational,6
10.5281/zenodo.2653723,NMRlipidsDatabank_ID251,computational,6
10.5281/zenodo.3859339,NMRlipidsDatabank_ID146,computational,6
10.5281/zenodo.3857816,NMRlipidsDatabank_ID503,computational,6
10.5281/zenodo.3855729,NMRlipidsDatabank_ID253,computational,6
10.5281/zenodo.3833725,NMRlipidsDatabank_ID217,computational,6
10.5281/zenodo.3725637,NMRlipidsDatabank_ID149,computational,6
10.5281/zenodo.3693681,NMRlipidsDatabank_ID317,computational,6
10.5281/zenodo.1283333,NMRlipidsDatabank_ID471,computational,6
10.5281/zenodo.1493241,NMRlipidsDatabank_ID496,computational,6
10.5281/zenodo.1283331,NMRlipidsDatabank_ID495,computational,6
10.5281/zenodo.1182658,NMRlipidsDatabank_ID514,computational,6
10.5281/zenodo.1020623,NMRlipidsDatabank_ID450,computational,6
10.5281/zenodo.1020593,NMRlipidsDatabank_ID518,computational,6
10.5281/zenodo.1020240,NMRlipidsDatabank_ID285,computational,6
10.5281/zenodo.8335207,NMRlipidsDatabank_ID852,computational,6
10.5281/zenodo.8370420,NMRlipidsDatabank_ID786,computational,6
10.5281/zenodo.1182658,NMRlipidsDatabank_ID114,computational,6
10.5281/zenodo.1182665,NMRlipidsDatabank_ID388,computational,6
10.5281/zenodo.838225,NMRlipidsDatabank_ID370,computational,6
10.5281/zenodo.1182665,NMRlipidsDatabank_ID528,computational,6
10.5281/zenodo.8370426,NMRlipidsDatabank_ID784,computational,6
10.5281/zenodo.8370434,NMRlipidsDatabank_ID785,computational,6
10.5281/zenodo.8370440,NMRlipidsDatabank_ID783,computational,6
10.5281/zenodo.8370442,NMRlipidsDatabank_ID781,computational,6
10.5281/zenodo.8370445,NMRlipidsDatabank_ID780,computational,6
10.5281/zenodo.1020671,NMRlipidsDatabank_ID117,computational,6
10.5281/zenodo.1020689,NMRlipidsDatabank_ID336,computational,6
10.5281/zenodo.10254558,NMRlipidsDatabank_ID868,computational,6
10.5281/zenodo.10255810,NMRlipidsDatabank_ID855,computational,6
10.5281/zenodo.10259002,NMRlipidsDatabank_ID867,computational,6
10.5281/zenodo.10259847,NMRlipidsDatabank_ID854,computational,6
10.5281/zenodo.10260376,NMRlipidsDatabank_ID866,computational,6
10.5281/zenodo.10261345,NMRlipidsDatabank_ID853,computational,6
10.5281/zenodo.10280829,NMRlipidsDatabank_ID878,computational,6
10.5281/zenodo.10635871,NMRlipidsDatabank_ID801,computational,6
10.5281/zenodo.10635871,NMRlipidsDatabank_ID850,computational,6
10.5281/zenodo.10635875,NMRlipidsDatabank_ID851,computational,6
10.5281/zenodo.1118682,NMRlipidsDatabank_ID142,computational,6
10.5281/zenodo.1118682,NMRlipidsDatabank_ID278,computational,6
10.5281/zenodo.1118682,NMRlipidsDatabank_ID371,computational,6
10.5281/zenodo.1118682,NMRlipidsDatabank_ID461,computational,6
10.5281/zenodo.1283331,NMRlipidsDatabank_ID169,computational,6
10.5281/zenodo.838219,NMRlipidsDatabank_ID621,computational,6
10.5281/zenodo.10253820,NMRlipidsDatabank_ID870,computational,6
10.5281/zenodo.838229,NMRlipidsDatabank_ID184,computational,6
10.5281/zenodo.8415046,NMRlipidsDatabank_ID782,computational,6
10.1039/B508190D,NMRlipidsExpDatabank,experimental,6
10.5281/zenodo.1230390,NMRlipidsDatabank_ID11,computational,6
10.5281/zenodo.887398,NMRlipidsDatabank_ID241,computational,6
10.5281/zenodo.887400,NMRlipidsDatabank_ID603,computational,6
10.5281/zenodo.1219494,NMRlipidsDatabank_ID165,computational,6
10.5281/zenodo.3540513,NMRlipidsDatabank_ID487,computational,5
10.5281/zenodo.439080,NMRlipidsDatabank_ID332,computational,4
10.5281/zenodo.4386514,NMRlipidsDatabank_ID220,computational,4
10.5281/zenodo.439066,NMRlipidsDatabank_ID215,computational,4
10.5281/zenodo.439066,NMRlipidsDatabank_ID7,computational,4
10.5281/zenodo.439080,NMRlipidsDatabank_ID542,computational,4
10.5281/zenodo.4349753,NMRlipidsDatabank_ID250,computational,4
10.5281/zenodo.439080,NMRlipidsDatabank_ID567,computational,4
10.5281/zenodo.4424292,NMRlipidsDatabank_ID195,computational,4
10.5281/zenodo.4424934,NMRlipidsDatabank_ID143,computational,4
10.5281/zenodo.7604711,NMRlipidsDatabank_ID735,computational,4
10.5281/zenodo.7604681,NMRlipidsDatabank_ID742,computational,4
10.5281/zenodo.45007,NMRlipidsDatabank_ID282,computational,4
10.5281/zenodo.45008,NMRlipidsDatabank_ID353,computational,4
10.5281/zenodo.4522359,NMRlipidsDatabank_ID409,computational,4
10.5281/zenodo.4352287,NMRlipidsDatabank_ID376,computational,4
10.5281/zenodo.4300706,NMRlipidsDatabank_ID255,computational,4
10.5281/zenodo.4300706,NMRlipidsDatabank_ID357,computational,4
10.5281/zenodo.4537207,NMRlipidsDatabank_ID151,computational,4
10.5281/zenodo.4071264,NMRlipidsDatabank_ID433,computational,4
10.5281/zenodo.4071264,NMRlipidsDatabank_ID13,computational,4
10.5281/zenodo.4040423,NMRlipidsDatabank_ID512,computational,4
10.5281/zenodo.7604810,NMRlipidsDatabank_ID739,computational,4
10.5281/zenodo.3997214,NMRlipidsDatabank_ID616,computational,4
10.5281/zenodo.7604842,NMRlipidsDatabank_ID741,computational,4
10.5281/zenodo.7605016,NMRlipidsDatabank_ID736,computational,4
10.5281/zenodo.7607436,NMRlipidsDatabank_ID734,computational,4
10.5281/zenodo.3434396,NMRlipidsDatabank_ID484,computational,4
10.5281/zenodo.3434396,NMRlipidsDatabank_ID576,computational,4
10.5281/zenodo.3434396,NMRlipidsDatabank_ID90,computational,4
10.5281/zenodo.7622838,NMRlipidsDatabank_ID746,computational,4
