lipid_system,property,chain,type,T_bin,n_values,mean,median,std,min,max,spread_pct,n_sources,n_force_fields,unit
PC_average_12lipids,area_compressibility_KA,-,experimental,NA,1,243.0,243.0,0.0,243.0,243.0,0.0,1,0,mN/m
CHOL:DAPC (1:1),area_per_lipid,-,computational,35C,1,49.69,49.69,0.0,49.69,49.69,0.0,1,1,A^2
CHOL:DAPC (7:11),area_per_lipid,-,computational,35C,1,54.77,54.77,0.0,54.77,54.77,0.0,1,1,A^2
CHOL:DAPC (7:17),area_per_lipid,-,computational,35C,1,59.65,59.65,0.0,59.65,59.65,0.0,1,1,A^2
CHOL:DAPC (7:29),area_per_lipid,-,computational,35C,1,64.94,64.94,0.0,64.94,64.94,0.0,1,1,A^2
CHOL:DAPC (7:65),area_per_lipid,-,computational,10C,2,68.385,68.385,0.005,68.38,68.39,0.0,2,1,A^2
CHOL:DAPC (7:65),area_per_lipid,-,computational,25C,2,69.36,69.36,0.02,69.34,69.38,0.1,2,1,A^2
CHOL:DAPC (7:65),area_per_lipid,-,computational,35C,2,70.34,70.34,0.02,70.32,70.36,0.1,2,1,A^2
CHOL:DAPC (7:65),area_per_lipid,-,computational,45C,2,71.23,71.23,0.01,71.22,71.24,0.0,2,1,A^2
CHOL:DAPC (7:65),area_per_lipid,-,computational,60C,2,72.455,72.455,0.015,72.44,72.47,0.0,2,1,A^2
CHOL:DDOPC (7:65),area_per_lipid,-,computational,35C,1,72.3,72.3,0.0,72.3,72.3,0.0,1,1,A^2
CHOL:DDOPC:DOPC (28:115:130),area_per_lipid,-,computational,35C,1,67.05,67.05,0.0,67.05,67.05,0.0,1,1,A^2
CHOL:DLIPC (7:65),area_per_lipid,-,computational,35C,1,65.3,65.3,0.0,65.3,65.3,0.0,1,1,A^2
CHOL:DLIPC:DOPC (28:125:130),area_per_lipid,-,computational,35C,1,64.03,64.03,0.0,64.03,64.03,0.0,1,1,A^2
CHOL:DOPC (7:65),area_per_lipid,-,computational,35C,1,63.11,63.11,0.0,63.11,63.11,0.0,1,1,A^2
CHOL:DOPC:DAPC (14:65:60),area_per_lipid,-,computational,35C,1,66.39,66.39,0.0,66.39,66.39,0.0,1,1,A^2
CHOL:DPPC (1:4),area_per_lipid,-,computational,35C,1,41.8,41.8,0.0,41.8,41.8,0.0,1,1,A^2
CHOL:POPC (11:100),area_per_lipid,-,computational,35C,9,56.98,56.63,2.0684,54.16,59.71,9.7,9,2,A^2
CHOL:POPC (1:1),area_per_lipid,-,computational,25C,1,41.27,41.27,0.0,41.27,41.27,0.0,1,1,A^2
CHOL:POPC (1:1),area_per_lipid,-,computational,30C,5,42.356,42.0,0.5394,41.89,43.31,3.4,5,2,A^2
CHOL:POPC (1:1),area_per_lipid,-,computational,35C,1,42.42,42.42,0.0,42.42,42.42,0.0,1,1,A^2
CHOL:POPC (1:4),area_per_lipid,-,computational,35C,9,51.8167,51.55,1.5697,49.43,53.69,8.2,9,2,A^2
CHOL:POPC (3:7),area_per_lipid,-,computational,30C,2,47.11,47.11,0.46,46.65,47.57,2.0,2,1,A^2
CHOL:POPC (43:100),area_per_lipid,-,computational,35C,9,47.4844,47.43,1.0673,45.91,49.25,7.0,9,2,A^2
CHOL:POPC (67:100),area_per_lipid,-,computational,35C,1,44.82,44.82,0.0,44.82,44.82,0.0,1,1,A^2
